Version; FileName ; Size;nr;nAuth; LOC_touched;LOC_Added; Max_locAdded;Avg_locAdded;Churn;MAX_Churn; AVG_Churn;ChgSetSize;Max_chgSetSize;Avg_chgSetSize;Buggy
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;121;4;4;333;235;137;18;137;137;18;141;3;1;no
1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java;215;5;5;436;340;252;5;244;244;5;236;4;2;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;950;15;15;1466;1246;545;9;1026;1026;9;814;14;8;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;78;4;4;150;121;81;5;92;92;5;168;3;2;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;170;5;5;210;195;168;13;180;180;13;198;4;3;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;441;10;10;795;633;487;15;471;537;15;501;9;5;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;185;6;6;216;210;124;14;204;204;14;193;5;3;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;516;8;8;691;621;536;12;551;554;12;316;7;4;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;132;6;6;187;168;133;8;149;149;8;265;5;3;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;152;4;4;171;164;151;23;157;157;23;175;3;2;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java;124;2;2;147;147;147;147;147;147;147;64;1;1;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;123;6;6;401;269;126;21;137;137;21;227;5;3;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java;241;5;5;289;280;249;16;271;271;16;242;4;3;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;495;10;10;1532;1040;410;12;548;548;12;397;9;5;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;694;6;6;1134;931;714;18;728;805;18;235;5;3;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;174;5;5;219;212;204;30;205;205;30;168;4;3;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;42;3;3;56;53;50;13;50;50;13;96;2;2;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java;148;6;6;229;207;184;10;185;185;10;269;5;3;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java;55;4;4;71;66;61;11;61;61;11;162;3;2;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java;139;9;9;263;210;167;8;157;169;8;324;8;4;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java;71;5;5;103;92;80;8;81;81;8;115;4;2;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java;71;4;4;182;133;83;9;84;84;9;114;3;2;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;674;13;13;2162;1462;547;12;762;825;12;544;12;6;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java;215;8;8;328;288;198;9;248;250;9;297;7;3;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java;153;10;10;295;232;140;6;169;170;6;386;9;5;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java;167;7;7;252;224;178;10;196;196;10;265;6;4;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java;53;5;5;85;76;67;10;67;67;10;249;4;3;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java;141;5;5;199;182;138;9;165;165;9;186;4;3;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java;144;5;5;213;193;170;9;173;173;9;186;4;3;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java;91;6;6;151;127;101;6;103;104;6;223;5;3;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java;70;1;1;78;78;78;78;78;78;78;0;0;0;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java;69;3;3;89;88;87;44;87;87;44;96;2;2;yes
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java;71;3;3;87;86;85;43;85;85;43;96;2;2;no
